"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"Clement Street Farmers Mkt/Ag Institute of Marin","Clement St","","San Francisco","CA","94118","SAN FRANCISCO","Farmers and Markets","","California Department of Food and Agriculture","USDA","San Francisco (City, 2020)"
"Constellation Culinary","55 Music Concourse Dr","","San Francisco","CA","94118","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Cordova Market","301 Rolph St","","San Francisco","CA","94112","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Costco 144","450 10th St","","San Francisco","CA","94103","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"D&T Market","1118 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Hua Long Trading Inc 1","714 Jackson St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"I & J Market","2415 Noriega St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Indian Spices And Groceries","3265 22nd St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Inle Burmese Cuisine","822 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Inner Sunset Farmers' Market","1326 9th Ave","","San Francisco","CA","94122","SAN FRANCISCO","Farmers and Markets","","California Department of Food and Agriculture","USDA","San Francisco (City, 2020)"
"International Produce Market","2200 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Irving Pizza","928 Geary St","","San Francisco","CA","94109","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Island Cove Market Inc","800 Avenue H","","San Francisco","CA","94130","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"J & Food Ginseng Company","2409 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Kash Daddy's","1051 Market St","","San Francisco","CA","94103","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Kentucky Fried Chicken #236","1150 Taraval St","","San Francisco","CA","94116","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Kentucky Fried Chicken #248","4150 Geary Blvd","","San Francisco","CA","94118","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Kentucky Fried Chicken #249","691 Eddy St","","San Francisco","CA","94109","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Kim Hoang Cafe and Fast Food","246 Leavenworth St","","San Francisco","CA","94102","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"King Lee Chinese Restaurant","1426A Fillmore St","","San Francisco","CA","94115","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Kj Produce Market","400 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Komi Food Company","898 Stockton St","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Kwok Hong Chinese Herbs Inc","3309 Balboa St","","San Francisco","CA","94121","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"L & J Groceries","21 Leland Ave","","San Francisco","CA","94134","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"LA LOMA #10","2456 San Bruno Ave","","San Francisco","CA","94134","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"LA LOMA 3","5652 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"LA LOMA PRODUCE 7","2695 San Bruno Ave","","San Francisco","CA","94134","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"LUCKY PORK MARKET","2659 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"La Canasta Produce","2097 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"La Loma Produce 8","2840 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"La Lomita Market","2499 Folsom St","","San Francisco","CA","94110","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Larkin Restaurant","607 Larkin St","","San Francisco","CA","94109","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Lebeau Nob Hill Market 1","1263 Leavenworth St","","San Francisco","CA","94109","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Leland Market","65 Leland Ave","","San Francisco","CA","94134","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Little Szechuan","501 Broadway","","San Francisco","CA","94133","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Local Diner","1244 Market St.","","San Francisco","CA","94102","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Long Hua's Grocery Store","906 Stockton St","","San Francisco","CA","94108","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Los Olivos Market","4766 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Lucky 755","1515 Sloat Blvd","","San Francisco","CA","94132","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Lucky 756","1750 Fulton St","","San Francisco","CA","94117","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Luke's Local Grocery","580 Green St","","San Francisco","CA","94133","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
